Rk,,Age,Tm,IP,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
1,Joe Blanton,32,LAA,63.2,11,302,285,44,100,24,1,9,7,0,13,41,.351,.384,.537,.921,.386,153,5,3,0,1,1,1
2,Wade Davis,27,KCR,52.0,10,242,214,37,73,15,0,8,1,2,24,42,.341,.407,.523,.930,.392,112,10,1,1,2,0,2
3,Jon Garland,33,COL,57.0,10,255,228,36,73,19,2,8,1,2,19,28,.320,.372,.526,.898,.335,120,4,1,5,2,2,1
4,Alex Sanabia,24,MIA,55.1,10,251,218,33,69,19,0,10,3,0,25,31,.317,.394,.541,.935,.330,118,12,4,2,2,3,2
5,Wily Peralta,24,MIL,56.2,11,269,238,48,74,9,0,6,3,1,24,34,.311,.375,.424,.799,.342,101,6,1,5,1,1,7
6,Lucas Harrell,28,HOU,58.0,11,265,227,36,69,13,1,8,2,2,33,33,.304,.398,.476,.873,.326,108,12,3,1,1,1,2
7,Barry Zito*,35,SFG,56.2,10,248,227,34,69,15,0,4,4,3,17,34,.304,.358,.423,.781,.344,96,9,2,2,0,0,3
8,Joe Saunders*,32,SEA,64.2,11,285,256,41,77,21,1,10,6,2,22,32,.301,.355,.508,.862,.309,130,9,1,3,3,2,3
9,Kevin Correia,32,MIN,63.2,10,261,246,28,73,12,0,10,1,1,10,26,.297,.328,.467,.796,.299,115,12,2,2,1,0,1
10,Brandon McCarthy,29,ARI,64.0,10,273,257,33,76,15,1,6,1,0,10,39,.296,.325,.432,.757,.330,111,5,1,5,0,2,1
11,Bud Norris,28,HOU,63.0,11,272,245,31,72,15,1,5,4,4,23,38,.294,.357,.424,.781,.332,104,7,1,3,0,0,2
12,David Price*,27,TBR,55.0,9,238,221,39,65,15,0,8,8,3,14,49,.294,.340,.471,.811,.345,104,5,2,0,1,0,2
13,Dan Haren,32,WSN,56.1,10,249,233,38,68,13,0,12,2,0,9,46,.292,.328,.502,.830,.318,117,3,4,2,1,0,2
14,Jason Hammel,30,BAL,65.0,11,288,254,39,73,16,1,8,3,0,22,50,.287,.346,.453,.799,.322,115,7,4,2,6,1,3
15,Phil Hughes,27,NYY,54.1,10,233,216,31,62,13,1,11,1,1,13,48,.287,.328,.509,.837,.321,110,4,1,1,2,1,2
16,Brandon Morrow,28,TOR,54.1,10,242,220,39,63,18,1,12,2,1,18,42,.286,.339,.541,.880,.302,119,3,1,0,3,1,2
17,Jarrod Parker,24,OAK,61.2,11,272,239,38,68,14,0,11,2,2,26,44,.285,.363,.481,.844,.308,115,8,4,2,1,1,1
18,Julio Teheran,22,ATL,56.1,9,241,221,23,63,11,0,8,5,0,12,35,.285,.332,.443,.775,.307,98,5,4,3,1,1,2
