MLB ID,ESPNID,Last First,First Last,Team,H/A,Bats,FDpos,DSpos,DJpos,SSpos,AB,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,Pitcher MLB ID,Pitcher ESPNID,Pitcher Last First,Pitcher First Last,P team,Throws,Gametime
431094,6190,"Hill, Aaron","Aaron Hill",ari,H,R,4,4,4,4,15,4,2,0,2,4,0,5,0,0,.267,.267,.800,1.067,518516,29949,"Bumgarner, Madison","Madison Bumgarner",sf,L,9:40 PM ET
572041,30699,"Pollock, A.J.","A.J. Pollock",ari,H,R,7,7,7,7,18,5,3,0,1,3,1,3,0,0,.278,.316,.611,.927,518516,29949,"Bumgarner, Madison","Madison Bumgarner",sf,L,9:40 PM ET
502671,31027,"Goldschmidt, Paul","Paul Goldschmidt",ari,H,R,3,3,3,3,18,4,1,0,1,3,3,4,0,0,.222,.318,.444,.763,518516,29949,"Bumgarner, Madison","Madison Bumgarner",sf,L,9:40 PM ET
425496,5404,"Ross, Cody","Cody Ross",ari,H,R,7,0,7,7,11,3,0,0,0,0,3,2,0,0,.273,.429,.273,.701,518516,29949,"Bumgarner, Madison","Madison Bumgarner",sf,L,9:40 PM ET
445988,6513,"Prado, Martin","Martin Prado",ari,H,R,5,5,5,5,21,5,0,1,0,0,2,3,1,1,.238,.304,.333,.638,518516,29949,"Bumgarner, Madison","Madison Bumgarner",sf,L,9:40 PM ET
544369,31376,"Gregorius, Didi","Didi Gregorius",ari,H,L,6,6,6,6,5,1,1,0,0,0,0,3,0,0,.200,.200,.400,.600,518516,29949,"Bumgarner, Madison","Madison Bumgarner",sf,L,9:40 PM ET
460060,29210,"Pennington, Cliff","Cliff Pennington",ari,H,S,6,6,6,6,8,2,0,0,0,0,0,1,0,0,.250,.250,.250,.500,518516,29949,"Bumgarner, Madison","Madison Bumgarner",sf,L,9:40 PM ET
542999,30846,"Campana, Tony","Tony Campana",ari,H,L,7,7,7,7,4,1,0,0,0,0,0,2,1,0,.250,.250,.250,.500,518516,29949,"Bumgarner, Madison","Madison Bumgarner",sf,L,9:40 PM ET
471083,28586,"Montero, Miguel","Miguel Montero",ari,H,L,2,2,2,2,27,5,1,0,0,2,0,7,0,0,.185,.214,.222,.437,518516,29949,"Bumgarner, Madison","Madison Bumgarner",sf,L,9:40 PM ET
501245,32251,"Marte, Alfredo","Alfredo Marte",ari,H,R,7,0,7,7,6,1,0,0,0,0,0,2,0,0,.167,.167,.167,.333,518516,29949,"Bumgarner, Madison","Madison Bumgarner",sf,L,9:40 PM ET
467827,29807,"Parra, Gerardo","Gerardo Parra",ari,H,L,7,7,7,7,14,1,0,0,0,0,1,5,0,0,.071,.133,.071,.205,518516,29949,"Bumgarner, Madison","Madison Bumgarner",sf,L,9:40 PM ET
572008,30862,"Owings, Chris","Chris Owings",ari,H,R,6,6,,6,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,518516,29949,"Bumgarner, Madison","Madison Bumgarner",sf,L,9:40 PM ET
452254,28687,"Pence, Hunter","Hunter Pence",sf,A,R,7,7,7,7,13,7,2,1,1,1,0,1,0,0,.538,.538,1.077,1.615,435221,6191,"McCarthy, Brandon","Brandon McCarthy",ari,R,9:40 PM ET
434636,6488,"Pagan, Angel","Angel Pagan",sf,A,S,7,7,7,7,8,2,1,0,1,2,0,1,0,0,.250,.250,.750,1.000,435221,6191,"McCarthy, Brandon","Brandon McCarthy",ari,R,9:40 PM ET
543063,30469,"Crawford, Brandon","Brandon Crawford",sf,A,L,6,6,6,6,6,2,0,1,0,1,0,1,0,0,.333,.333,.667,1.000,435221,6191,"McCarthy, Brandon","Brandon McCarthy",ari,R,9:40 PM ET
453923,28661,"Blanco, Gregor","Gregor Blanco",sf,A,L,7,7,7,7,6,2,1,0,0,0,0,1,0,0,.333,.333,.500,.833,435221,6191,"McCarthy, Brandon","Brandon McCarthy",ari,R,9:40 PM ET
340192,5217,"Scutaro, Marco","Marco Scutaro",sf,A,R,4,4,4,4,11,3,0,1,0,1,1,1,0,0,.273,.333,.455,.788,435221,6191,"McCarthy, Brandon","Brandon McCarthy",ari,R,9:40 PM ET
519082,30307,"Noonan, Nick","Nick Noonan",sf,A,L,5,4,4,5,3,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,435221,6191,"McCarthy, Brandon","Brandon McCarthy",ari,R,9:40 PM ET
516949,30567,"Sanchez, Hector","Hector Sanchez",sf,A,S,2,2,2,2,4,1,0,0,0,0,0,2,0,0,.250,.250,.250,.500,435221,6191,"McCarthy, Brandon","Brandon McCarthy",ari,R,9:40 PM ET
474832,30901,"Belt, Brandon","Brandon Belt",sf,A,L,3,3,3,3,6,1,0,0,0,0,1,4,0,0,.167,.286,.167,.452,435221,6191,"McCarthy, Brandon","Brandon McCarthy",ari,R,9:40 PM ET
467055,29212,"Sandoval, Pablo","Pablo Sandoval",sf,A,S,5,5,5,5,6,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,435221,6191,"McCarthy, Brandon","Brandon McCarthy",ari,R,9:40 PM ET
457763,30112,"Posey, Buster","Buster Posey",sf,A,R,2,2,2,2,3,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,435221,6191,"McCarthy, Brandon","Brandon McCarthy",ari,R,9:40 PM ET
545361,30836,"Trout, Mike","Mike Trout",laa,H,R,7,7,7,7,38,15,2,2,1,9,2,8,1,1,.395,.405,.632,1.036,433587,6194,"Hernandez, Felix","Felix Hernandez",sea,R,10:00 PM ET
150348,4108,"McDonald, John","John McDonald",laa,H,R,5,6,6,6,5,2,0,0,0,0,1,0,1,1,.400,.500,.400,.900,433587,6194,"Hernandez, Felix","Felix Hernandez",sea,R,10:00 PM ET
435062,6524,"Kendrick, Howie","Howie Kendrick",laa,H,R,4,4,4,4,67,20,4,0,1,5,2,11,1,1,.299,.319,.403,.722,433587,6194,"Hernandez, Felix","Felix Hernandez",sea,R,10:00 PM ET
116380,3504,"Ibanez, Raul","Raul Ibanez",laa,H,L,7,7,7,7,11,2,0,0,1,3,1,4,0,0,.182,.250,.455,.705,433587,6194,"Hernandez, Felix","Felix Hernandez",sea,R,10:00 PM ET
474233,29316,"Conger, Hank","Hank Conger",laa,H,S,2,2,2,2,4,1,0,0,0,0,0,1,0,0,.250,.400,.250,.650,433587,6194,"Hernandez, Felix","Felix Hernandez",sea,R,10:00 PM ET
455104,28561,"Iannetta, Chris","Chris Iannetta",laa,H,R,2,2,2,2,15,2,0,0,1,1,4,4,0,0,.133,.316,.333,.649,433587,6194,"Hernandez, Felix","Felix Hernandez",sea,R,10:00 PM ET
405395,4574,"Pujols, Albert","Albert Pujols",laa,H,R,3,0,3,3,26,5,3,0,1,5,0,8,0,0,.192,.192,.423,.615,433587,6194,"Hernandez, Felix","Felix Hernandez",sea,R,10:00 PM ET
285078,4652,"Hamilton, Josh","Josh Hamilton",laa,H,L,7,7,7,7,61,10,3,1,1,5,8,20,2,0,.164,.268,.295,.563,433587,6194,"Hernandez, Felix","Felix Hernandez",sea,R,10:00 PM ET
430947,6522,"Aybar, Erick","Erick Aybar",laa,H,S,6,6,6,6,69,15,4,0,0,5,4,13,6,0,.217,.270,.275,.546,433587,6194,"Hernandez, Felix","Felix Hernandez",sea,R,10:00 PM ET
519068,30337,"Navarro, Efren","Efren Navarro",laa,H,L,3,,3,3,1,0,0,0,0,1,1,0,1,0,.000,.500,.000,.500,433587,6194,"Hernandez, Felix","Felix Hernandez",sea,R,10:00 PM ET
543776,30741,"Shuck, J.B.","J.B. Shuck",laa,H,L,7,7,7,7,9,1,0,0,0,0,1,3,1,0,.111,.200,.111,.311,433587,6194,"Hernandez, Felix","Felix Hernandez",sea,R,10:00 PM ET
594777,31413,"Calhoun, Kole","Kole Calhoun",laa,H,L,7,7,0,7,4,0,0,0,0,0,1,1,0,0,.000,.200,.000,.200,433587,6194,"Hernandez, Felix","Felix Hernandez",sea,R,10:00 PM ET
499864,31970,"Jimenez, Luis","",laa,H,R,5,5,5,5,3,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,433587,6194,"Hernandez, Felix","Felix Hernandez",sea,R,10:00 PM ET
502205,30430,"Green, Grant","Grant Green",laa,H,R,6,4,6,4,2,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,433587,6194,"Hernandez, Felix","Felix Hernandez",sea,R,10:00 PM ET
